Gage_no,Gage_name,Gage_type,Lat_nwis,Long_nwis,SqKm_nwis,Lat_snap,Long_snap,COMID,COMID_meas,REACHCODE,REACH_meas,NHDPlusReg,State,Pass,CHECKED,QC_notes1,REVIEWED,Rev_notes2,Ver_notes3,Gage_info,QC_final,MovedCOMID
08166000,"Johnson Ck nr Ingram, TX",CrestStage,30.100207070000000,-99.283100599999997,295.258643000000006,30.100554047199999,-99.283025933399998,3585554,51.306363027400003,12100201000077,51.306363027400003,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08076180,"Garners Bayou nr Humble, TX",CrestStage,29.933860889999998,-95.233960800000006,80.289631000000000,29.933918594000001,-95.233889763799993,1438379,81.659100139200007,12040104000895,81.659100139200007,12,TX,1, , , , , , ,AutoRef, 
08210400,"Lagarto Ck nr George West, TX",CrestStage,28.059735329999999,-98.096948200000000,401.448154999999986,28.059363975699998,-98.096770701500006,3168874,9.950077303450000,12110111000076,9.950077303450000,12,TX,1, , , , , , ,AutoRef, 
08074710,"Buffalo Bayou at Turning Basin, Houston, TX",CrestStage,29.749394769999999,-95.291047300000002,1204.344466999999895,29.748806374699999,-95.290541957599999,1440525,46.996352818399998,12040104000892,25.228535123600000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08070500,"Caney Ck nr Splendora, TX",ContGage,30.259657890000000,-95.302436099999994,271.948751000000016,30.259587493900000,-95.302519827699996,1520249,62.421060413399999,12040103000096,62.421060413399999,12,TX,1, , , , , , ,AutoRef, 
08189700,"Aransas Rv nr Skidmore, TX",ContGage,28.282504260000000,-97.620829000000001,639.727061000000049,28.282667377599999,-97.620888074299998,5297631,44.172850399799998,12100407000011,44.172850399799998,12,TX,1, , , , , , ,AutoRef, 
08111500,"Brazos Rv nr Hempstead, TX",CrestStage,30.129106260000000,-96.187738699999997,113648.677827999999863,30.129357880099999,-96.187150226900002,3121538,75.287085340000004,12070104000675,90.695679068299995,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08178565,"San Antonio Rv at Loop 410, San Antonio, TX",ContGage,29.322181270000002,-98.450293200000004,323.748513000000003,29.322214570800000,-98.449787872499996,10840502,30.161596684599999,12100301000038,35.323122606900000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08071280,"Luce Bayou abv Lk Houston nr Huffman, TX",ContGage,30.109660190000000,-95.059929400000001,564.617405999999960,30.109625930899998,-95.059878401000006,1520091,85.242446008399995,12040103000002,88.181463061499997,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08073700,"Buffalo Bayou at Piney Point, TX",CrestStage,29.746895899999998,-95.523553800000002,774.406441999999970,29.746826968299999,-95.523568892499995,1439377,76.966519554200005,12040104000056,88.688504211300000,12,TX,1, , , , , , ,AutoRef, 
08181800,"San Antonio Rv nr Elmendorf, TX",ContGage,29.222185300000000,-98.355846299999996,4514.349258000000191,29.222098412400001,-98.355925175400003,10840572,65.145729891399995,12100301000002,65.145729891399995,12,TX,1, , , , , , ,AutoRef, 
08164600,"Garcitas Ck nr Inez, TX",ContGage,28.891375900000000,-96.819148600000005,237.501909000000012,28.891258539399999,-96.819171617999999,9349285,48.743565332999999,12100402000028,48.743565332999999,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08178050,"San Antonio Rv at Mitchell St, San Antonio, TX",CrestStage,29.393011890000000,-98.494739199999998,109.815494999999999,29.393056947900000,-98.494857961799994,10840818,10.341427890100000,12100301000190,10.341427890100000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08160800,"Redgate Ck nr Columbus, TX",ContGage,29.799119670000000,-96.532193300000003,44.806793999999996,29.799016373699999,-96.532137345699994,5791670,56.160645967900003,12090301000402,56.160645967900003,12,TX,1, , , , , , ,AutoRef, 
08187900,"Escondido Ck SWS No. 11 nr Kenedy, TX",CrestStage,28.861089600000000,-97.844445600000000,21.833600000000001,28.860955542500001,-97.844473860700006,3840019,93.300476716899993,12100303000281,93.300476716899993,12,TX,1, , , , , , ,AutoRef, 
08156800,"Shoal Ck at W 12th St, Austin, TX",CrestStage,30.276597039999999,-97.750283400000001,31.856853999999998,30.276437793900001,-97.750269405599994,5781703,20.346101778700000,12090205000365,20.346101778700000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08075760,"Hunting Bayou at Falls St, Houston, TX",CrestStage,29.806337599999999,-95.330770099999995,7.122467000000000,29.806374771400002,-95.330777591399993,1439055,95.465415391099995,12040104000113,95.465415391099995,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08166140,"Guadalupe Rv abv Bear Ck at Kerrville, TX",ContGage,30.069653779999999,-99.195320300000006,1279.454120999999986,30.068976574800001,-99.195555465400005,3585626,45.969777529600002,12100201000067,45.969777529600002,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08158600,"Walnut Ck at Webberville Rd, Austin, TX",CrestStage,30.283264200000001,-97.655002999999994,132.866389999999996,30.283208377000001,-97.654867195899996,5781285,67.201241138300006,12090205000004,67.201241138300006,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08210000,"Nueces Rv nr Three Rivers, TX",ContGage,28.427495449999999,-98.178062499999996,39955.746419000002788,28.428186517899999,-98.178434607599996,3168766,80.427106672400001,12110111000061,80.427106672400001,12,TX,1, , , , , , ,AutoRef, 
08067500,"Cedar Bayou nr Crosby, TX",CrestStage,29.972719139999999,-94.985760200000001,168.090227999999996,29.972497808200000,-94.986101992499997,1558738,73.557687795099994,12040203000016,62.318189857100002,12,TX,0,SEJ 9/6/17,Okay., , , , ,OK, 
08150700,"Llano Rv nr Mason, TX",CrestStage,30.660736849999999,-99.109218499999997,8409.691360999999233,30.661221957199999,-99.109286025299994,5769807,88.853153951699994,12090204000126,88.853153951699994,12,TX,1, , , , , , ,AutoRef, 
08162000,"Colorado Rv at Wharton, TX",CrestStage,29.309136680000002,-96.103848200000002,108787.270164000001387,29.308715376999999,-96.103765018399997,3764246,72.850629100600003,12090302000407,46.875957132700002,12,TX,1, , , , , , ,AutoRef, 
08163500,"Lavaca Rv at Hallettsville, TX",CrestStage,29.443297300000001,-96.944981900000002,279.718714999999975,29.443285061499999,-96.945392525299994,7841703,75.567981501700004,12100101000041,75.567981501700004,12,TX,1, , , , , , ,AutoRef, 
08175800,"Guadalupe Rv at Cuero, TX",ContGage,29.090531469999998,-97.329712900000004,12779.001285000000280,29.066056191099999,-97.321370814600002,1637447,2.577645379470000,12100204000052,2.577645379470000,12,TX,1,SEJ 8/17/17,Okay. GageLoc is wrong. Some regulated flow.,MJS 10/25/2017,"gage on downstream  side of bridge, but on flow line. okay.",[LH]: looks wrong to me. Should be downstream of bridge over State Highway 183/77 (where NHDPlus GageLoc is). Move to 1637447,Some regulation,Move,1637437
08072800,"Langham Ck nr Addicks, TX",CrestStage,29.835782399999999,-95.625778299999993,126.650418000000002,29.835696949900001,-95.625568282800003,1440233,63.425823645999998,12040104000063,63.425823645999998,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08192000,"Nueces Rv bl Uvalde, TX",CrestStage,29.123853069999999,-99.894782199999995,4819.967854000000443,29.124138093100001,-99.894281933800002,10892689,84.418504049700005,12110103000110,84.418504049700005,12,TX,1, , , , , , ,AutoRef, 
08066400,"Big Ck nr Shepherd, TX",CrestStage,30.516591699999999,-94.985211600000000,100.491538000000006,30.516889691199999,-94.985119774300003,1487698,80.351176838200004,12030202001967,80.148780258900004,12,TX,1, , , , , , ,AutoRef, 
08170500,"San Marcos Rv at San Marcos, TX",ContGage,29.889108040000000,-97.934171800000001,126.650418000000002,29.889101875800002,-97.934315214700007,1631099,85.758117488899998,12100203000131,85.758117488899998,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08179100,"Red Bluff Ck nr Pipe Ck, TX",ContGage,29.681058600000000,-98.955586800000006,145.816329999999994,29.681220087300002,-98.955743290200004,10834936,50.280419999999999,12100302000061,50.280419999999999,12,TX,1, , , , , , ,AutoRef, 
08105100,"Berry Ck nr Georgetown, TX",CrestStage,30.691303040000001,-97.656120200000004,215.228011000000009,30.691633009299998,-97.655920662900002,5670841,30.388095759100000,12070205000041,30.388095759100000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08114500,"Brazos Rv nr Juliff, TX",ContGage,29.455516169999999,-95.532999599999997,117038.972250999999233,29.455377246000001,-95.533458587200002,3124640,87.176489801299994,12070104000658,87.176489801299994,12,TX,0,SEJ 9/6/17,Moved to Brazos river COMID 3124640.,MJS 10/26/2017,agree with move, , ,Move,1574084
08074150,"Cole Ck at Deihl Rd, Houston, TX",CrestStage,29.851336900000000,-95.487996499999994,19.424911000000002,29.851057320900001,-95.488001033800003,1440227,25.592396492999999,12040104000106,25.592396492999999,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08177300,"Perdido Ck at FM 622 nr Fannin, TX",CrestStage,28.751656400000002,-97.317214199999995,72.519666999999998,28.752025022000002,-97.316836026100006,1639209,34.418289999999999,12100204000165,34.418289999999999,12,TX,1, , , , , , ,AutoRef, 
08183900,"Cibolo Ck nr Boerne, TX",ContGage,29.774988889999999,-98.709469400000003,177.155185999999986,29.773706395000001,-98.697901340200005,7850595,97.951207307000004,12100304000048,97.951207307000004,12,TX,1,SEJ 8/17/17 --> LH 7/11/2017,"Move to 7850595 based on description 0.6 mi upstream from Southern Pacific Lines railroad bridge, 0.9 mi downstream from Menger Creek.",MJS 10/26/2017,agree with move, , ,Move,7850579
08195000,"Frio Rv at Concan, TX",CrestStage,29.488564960000001,-99.704775600000005,1007.505370999999968,29.488519435000001,-99.704777385000000,10645755,25.665681140699999,12110106000090,25.665681140699999,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08171300,"Blanco Rv nr Kyle, TX",CrestStage,29.979382970000000,-97.910005100000006,1067.075096999999914,29.979299628700002,-97.909625554300007,1631023,48.487965809899997,12100203000077,48.487965809899997,12,TX,1, , , , , , ,AutoRef, 
08075000,"Brays Bayou at Houston, TX",CrestStage,29.697174690000001,-95.412161999999995,245.789871000000005,29.697259902999999,-95.412146013200001,1440385,89.327035781700005,12040104000084,70.225003007400005,12,TX,0,SEJ 9/6/17,Okay., , , , ,OK, 
